tenure_id,person_id,first_surname,second_surname,given_name,date_elected_appointed,years_tenure,is_elected,is_interim,is_military,is_junta,vacant_presidency,date_tenure_start,date_tenure_end,is_resigned,is_deposed
T0048,P0034,Montero,Rodríguez,Juan Esteban,1931-10-04,6,1,0,0,0,0,1931-12-04,1932-06-04,0,1
T0049,P0036,Puga,Osorio,Arturo,1932-06-04,,0,1,1,1,0,1932-06-04,1932-06-13,1,0
T0050,P0037,Dávila,Espinoza,Carlos,1932-06-13,,0,1,0,1,0,1932-06-13,1932-09-13,1,0
T0051,P0038,Blanche,Espejo,Bartolomé,1932-09-13,,0,1,1,1,0,1932-09-13,1932-10-02,1,0
T0052,P0039,Oyanedel,Urrutia,Abraham,1932-10-02,,0,1,0,0,0,1932-10-02,1932-12-24,0,0
T0053,P0027,Alessandri,Palma,Arturo,1932-10-30,6,1,0,0,0,0,1932-12-24,1938-12-24,0,0
T0054,P0040,Aguirre,Cerda,Pedro,1938-10-25,6,1,0,0,0,0,1938-12-24,1941-11-25,0,0
T0055,P0041,Méndez,Arancibia,Jerónimo,1941-11-25,,0,1,0,0,0,1941-11-25,1942-04-02,0,0
T0056,P0042,Ríos,Morales,Juan Antonio,1942-02-01,6,1,0,0,0,0,1942-04-02,1946-06-27,0,0
T0057,P0043,Duhalde,Vásquez,Alfredo,1946-06-27,,0,1,0,0,0,1946-06-27,1946-08-03,1,0
T0058,P0044,Merino,Bielich,Vicente,1946-08-03,,0,1,0,0,0,1946-08-03,1946-08-13,1,0
T0057,P0043,Duhalde,Vásquez,Alfredo,1946-06-27,,0,1,0,0,0,1946-08-13,1946-10-17,1,0
T0059,P0045,Iribarren,Cabezas,Juan Antonio,1946-10-17,,0,1,0,0,0,1946-10-17,1946-11-03,0,0
T0060,P0046,González,Videla,Gabriel,1946-09-04,6,1,0,0,0,0,1946-11-03,1952-11-03,0,0
T0061,P0032,Ibáñez,del Campo,Carlos,1952-09-04,6,1,0,0,0,0,1952-11-03,1958-11-03,0,0
T0062,P0047,Alessandri,Rodríguez,Jorge,1958-09-04,6,1,0,0,0,0,1958-11-03,1964-11-03,0,0
T0063,P0048,Frei,Montalva,Eduardo,1964-09-04,6,1,0,0,0,0,1964-11-03,1970-11-03,0,0
T0064,P0049,Allende,Gossens,Salvador,1970-09-04,6,1,0,0,0,0,1970-11-03,1973-09-11,0,1
T0065,,,,,,,0,0,1,1,0,1973-09-11,1974-12-17,,
T0066,P0050,Pinochet,Ugarte,Augusto,1974-12-17,,0,0,1,0,0,1974-12-17,1981-03-11,0,0
T0067,P0050,Pinochet,Ugarte,Augusto,1974-12-17,8,1,0,1,0,0,1981-03-11,1989-03-11,0,0
T0068,P0050,Pinochet,Ugarte,Augusto,1989-03-11,1,1,0,1,0,0,1989-03-11,1990-03-11,0,0
T0069,P0051,Aylwin,Azócar,Patricio,1989-12-14,4,1,0,0,0,0,1990-03-11,1994-03-11,0,0
T0070,P0052,Frei,Ruiz-Tagle,Eduardo,1993-12-11,6,1,0,0,0,0,1994-03-11,2000-03-11,0,0
T0071,P0053,Lagos,Escobar,Ricardo,2000-01-16,6,1,0,0,0,0,2000-03-11,2006-03-11,0,0
T0072,P0054,Bachelet,Jeria,Michelle,2006-01-15,4,1,0,0,0,0,2006-03-11,2010-03-11,0,0
T0073,P0055,Piñera,Echenique,Sebastián,2010-01-17,4,1,0,0,0,0,2010-03-11,2014-03-11,0,0
T0074,P0054,Bachelet,Jeria,Michelle,2013-12-15,4,1,0,0,0,0,2014-03-11,2018-03-11,0,0
T0075,P0055,Piñera,Echenique,Sebastián,2017-12-17,4,1,0,0,0,0,2018-03-11,2022-03-11,0,0
T0076,P0056,Boric,Font,Gabriel,2021-12-19,4,1,0,0,0,0,2022-03-11,,,
