id,name,type,region,country,locale_1,locale_2,locale_3,locale_4,locale_5,zip_code,latitude,longitude,oldest_known_year,oldest_known_month,oldest_known_day,desc,desc_language,alt_name,former_name,verified_in_maps,openstreetmap_link,google_maps_link,abacq_reference
,Plaza Salvador Allende en Dinamarca,park,Europe,Denmark,Copenhague,,,,,,,,2013,7,3,,,,,0,,,http://www.abacq.org/calle/index.php?2013/07/03/601-copenhague-dinamarca
,"Salvador Allende Memorial. Nørrebro, Copenhague. Dinamarca",,Europe,Denmark,Copenhague,,,,,,,,2003,[9],[12],"
""Tienen la fuerza, podrán avasallarnos, pero no se detienen los procesos sociales ni con el crimen ni con la fuerza. La historia es nuestra y la hacen los pueblos.<br/>
Salvador Allende. 11 septiembre 1973""
",,,,0,,,http://www.abacq.org/calle/index.php?2012/09/10/578-copenhague-dinamarca
,Monumento Salvador Allende. Copenhague. Dinamarca,monument,Europe,Denmark,Copenhague,,,,,,,,2003,[9],[11],"København
""Tienen la fuerza, podrán avasallarnos, pero no se detienen los procesos sociales ni con el crimen ni con la fuerza. La historia es nuestra y la hacen los pueblos.<br/>
Salvador Allende. 11 septiembre 1973""
""A los refugiados de Chile y en memoria de Salvador Allende.<br/>
Unión General de Trabajadores de Dinamarca""
",,,,0,,,http://www.abacq.org/calle/index.php?2010/01/15/412-copenhague-dinamarca
,"Salvador Allende, Dinamarca",,Europe,Denmark,Copenhague,,,,,,,,2007,[9],[11],,,,,0,,,http://www.abacq.org/calle/index.php?2008/02/22/149-copenhaguen-dinamarca
,Homenaje a Salvador Allende,,Europe,Denmark,Copenhague,,,,,,,,2003,[9],[11],"La historia es nuestra y la hacen los pueblos. Salvador Allende, 11 de septiembre 1973.<br/>
A los refugiados de Chile y en  memoria de Salvador Allende.<br/>

Unión General de Trabajadores de Dinamarca""
",,,,0,,,http://www.abacq.org/calle/index.php?2007/02/18/65-copenhaguen-dinamarca
,foto,,Europe,Denmark,Copenhague,,,,,,,,2003,[11],[3],,,,,0,,,http://www.abacq.org/calle/index.php?2007/02/18/47-copenhage-dinamarca
